id_venda,data_venda,cliente,produto,categoria,quantidade,preco_unitario,vendedor,cidade,estado
1,2024-09-27,Pietra,Mouse,Eletrônicos,3,84.74,Ana,Belo Horizonte,RJ
2,2024-01-21,Vinicius,Monitor,Eletrônicos,3,950.34,Bruno,São Paulo,RS
3,2024-08-02,Yago,Mouse,Eletrônicos,3,79.13,Eduardo,Curitiba,SP
4,2024-04-09,Lara,Notebook,Eletrônicos,3,3471.47,Ana,Rio de Janeiro,RJ
5,2024-05-29,Levi,Fone,Eletrônicos,4,208.32,Eduardo,São Paulo,RS
6,2024-10-20,Ravi Lucca,Monitor,Eletrônicos,1,984.58,Eduardo,Curitiba,RJ
7,2024-10-03,Thales,Livro SQL,Livros,2,93.64,Eduardo,Belo Horizonte,SP
8,2024-01-22,José,Teclado,Eletrônicos,1,144.13,Daniela,Belo Horizonte,MG
9,2024-02-18,Isabel,Teclado,Eletrônicos,1,147.96,Bruno,Belo Horizonte,SP
10,2024-06-18,Luan,Mouse,Eletrônicos,3,81.79,Daniela,São Paulo,MG
11,2024-09-27,Agatha,Mesa,Móveis,4,1150.11,Eduardo,Belo Horizonte,SP
12,2024-02-20,Otávio,Livro SQL,Livros,2,91.81,Eduardo,São Paulo,PR
13,2024-11-15,Luiz Felipe,Mouse,Eletrônicos,4,80.23,Eduardo,Belo Horizonte,RS
14,2024-11-02,Joana,Mesa,Móveis,1,1091.15,Eduardo,Rio de Janeiro,SP
15,2024-06-15,Isabelly,Notebook,Eletrônicos,3,3269.37,Bruno,Belo Horizonte,SP
16,2024-11-11,Luiz Otávio,Monitor,Eletrônicos,2,980.8,Ana,Curitiba,MG
17,2024-09-21,Anna Liz,Livro SQL,Livros,2,106.17,Carlos,Rio de Janeiro,MG
18,2024-12-05,Cauê,Mesa,Móveis,2,1103.44,Bruno,Belo Horizonte,SP
19,2024-09-20,Julia,Mochila,Acessórios,4,177.85,Bruno,Porto Alegre,RJ
20,2024-03-21,Yago,Teclado,Eletrônicos,3,140.2,Daniela,Curitiba,MG
21,2024-01-02,Sarah,Fone,Eletrônicos,4,187.29,Bruno,Belo Horizonte,SP
22,2024-04-15,Marcelo,Monitor,Eletrônicos,2,903.61,Ana,Belo Horizonte,PR
23,2024-07-09,Alana,Cadeira,Móveis,4,655.88,Ana,Rio de Janeiro,RS
24,2024-06-10,Mathias,Mesa,Móveis,2,1266.03,Bruno,Curitiba,PR
25,2024-09-26,Vitória,Livro SQL,Livros,2,107.9,Bruno,Belo Horizonte,RJ
26,2024-08-02,Yasmin,Monitor,Eletrônicos,3,975.94,Eduardo,Porto Alegre,MG
27,2024-10-22,Aurora,Mochila,Acessórios,4,163.63,Daniela,Porto Alegre,PR
28,2024-12-03,Maria Laura,Mesa,Móveis,1,1173.28,Bruno,Rio de Janeiro,RS
